"PT_NUMBER","PLANT","SRC_UNIT","NUCLIDE","ACTIVITY","ACT_UNITS","Max0Avg1Sum2","NUCTYPEIMPTYPE","SOURCE","STARTDATE","ENDDATE","DURATION_MIN","FLOW_RATE","FLOW_UNITS","REL_VOL","REL_UNITS","RELEASE_SOURCE","DISCHARGE_POINT","REL_MODE_OR_DIL","IS_MDA","BATCHORCONT","ALLOCATION_PERCENT"
2016203,"Byron","Unit 1","H-3","5.20E-07","uCi/cc","NA","","",5/26/2016 16:31:00,5/26/2016 17:29:00,58.00,"1.63E+03","cfm","9.44E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016204,"Byron","Unit 1","H-3","5.20E-07","uCi/cc","NA","","",5/25/2016 1:06:00,5/25/2016 2:19:00,73.00,"1.61E+03","cfm","1.18E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016205,"Byron","Unit 2","H-3","1.11E-07","uCi/cc","NA","","",5/25/2016 1:08:00,5/25/2016 1:51:00,43.00,"1.08E+03","cfm","4.64E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016206,"Byron","Unit 2","H-3","1.11E-07","uCi/cc","NA","","",6/2/2016 0:06:00,6/2/2016 1:04:00,58.00,"1.60E+03","cfm","9.27E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016207,"Byron","Unit 1","C-14","2.34E-09","uCi/cc","NA","","",5/16/2016 1:05:00,5/23/2016 1:24:00,10099.00,"1.28E+05","cfm","1.29E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016207,"Byron","Unit 1","H-3","1.91E-09","uCi/cc","NA","","",5/16/2016 1:05:00,5/23/2016 1:24:00,10099.00,"1.28E+05","cfm","1.29E+09","cf","Unit 1 Stack","Unit 1 Stack","ground","","C",100
2016208,"Byron","Unit 2","C-14","1.35E-09","uCi/cc","NA","","",5/16/2016 1:08:00,5/23/2016 1:26:00,10098.00,"1.35E+05","cfm","1.36E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016208,"Byron","Unit 2","H-3","8.44E-09","uCi/cc","NA","","",5/16/2016 1:08:00,5/23/2016 1:26:00,10098.00,"1.35E+05","cfm","1.36E+09","cf","Unit 2 Stack","Unit 2 Stack","ground","","C",100
2016209,"Byron","Unit 1","H-3","5.00E-07","uCi/cc","NA","","",5/30/2016 20:37:00,5/30/2016 21:57:00,80.00,"1.52E+03","cfm","1.21E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016210,"Byron","Unit 1","H-3","5.00E-07","uCi/cc","NA","","",6/1/2016 12:15:00,6/1/2016 13:23:00,68.00,"1.34E+03","cfm","9.12E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016211,"Byron","Unit 1","H-3","5.00E-07","uCi/cc","NA","","",5/28/2016 14:59:00,5/28/2016 16:09:00,70.00,"1.58E+03","cfm","1.10E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016212,"Byron","Unit 2","H-3","1.05E-07","uCi/cc","NA","","",5/28/2016 16:55:00,5/28/2016 18:01:00,66.00,"1.59E+03","cfm","1.05E+05","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016213,"Byron","Unit 2","H-3","1.05E-07","uCi/cc","NA","","",6/4/2016 15:22:00,6/4/2016 16:30:00,68.00,"1.52E+03","cfm","1.04E+05","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016214,"Byron","Unit 2","H-3","1.05E-07","uCi/cc","NA","","",6/7/2016 16:47:00,6/7/2016 17:38:00,51.00,"1.37E+03","cfm","6.99E+04","cf","Unit 2 Containment Purge","Unit 2 Containment Purge","ground","","B",100
2016215,"Byron","Unit 1","H-3","5.37E-07","uCi/cc","NA","","",6/3/2016 8:41:00,6/3/2016 9:44:00,63.00,"1.45E+03","cfm","9.12E+04","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016216,"Byron","Unit 1","H-3","5.37E-07","uCi/cc","NA","","",6/4/2016 15:23:00,6/4/2016 16:47:00,84.00,"1.34E+03","cfm","1.13E+05","cf","Unit 1 Containment Purge","Unit 1 Containment Purge","ground","","B",100
2016217,"Byron","Unit 1","H-3","0.00E+00","uCi/cc","NA","","",6/1/2016 8:42:00,6/1/2016 10:53:00,131.00,"3.59E+00","cfm","4.71E+02","cf","Waste Gas Decay Tank (A-F)","Waste Gas Decay Tank (A-F)","ground","","B",100
2016217,"Byron","Unit 1","XE-133","5.52E-06","uCi/cc","NA","","",6/1/2016 8:42:00,6/1/2016 10:53:00,131.00,"3.59E+00","cfm","4.71E+02","cf","Waste Gas Decay Tank (A-F)","Waste Gas Decay Tank (A-F)","ground","","B",100
